customerid,loannumber,approveddate,loanamount,totaldue,termdays,good_bad_flag
8a2a81a74ce8c05d014cfb32a0da1049,12,2017-07-25 08:22:56,30000.0,34500.0,30,Good
8a85886e54beabf90154c0a29ae757c0,2,2017-07-05 17:04:41,15000.0,17250.0,30,Good
8a8588f35438fe12015444567666018e,7,2017-07-06 14:52:57,20000.0,22250.0,15,Good
8a85890754145ace015429211b513e16,3,2017-07-27 19:00:41,10000.0,11500.0,15,Good
8a858970548359cc0154883481981866,9,2017-07-03 23:42:45,40000.0,44000.0,30,Good
8a8589f35451855401546b0738c42524,8,2017-07-19 21:46:24,30000.0,39000.0,60,Good
8a858e095c59b91b015c5e5cea3719bc,3,2017-07-10 19:25:33,10000.0,13000.0,30,Good
8a858e1158dc4d830158f7bde4f47ea7,10,2017-07-24 23:42:27,30000.0,34500.0,30,Good
8a858e185b4923b4015b4ae48d28646a,4,2017-07-26 10:53:05,10000.0,11500.0,15,Good
8a858e1d5cd58f9e015ceda4bdb63673,2,2017-07-17 13:48:42,10000.0,11500.0,15,Good
8a858e245c214660015c2ba8187976f7,2,2017-07-03 23:49:10,10000.0,13000.0,30,Good
8a858e345bd96da8015be6b9f8bc10c7,3,2017-07-02 21:59:20,10000.0,13000.0,30,Bad
8a858e395cb1d4d9015cb236b4811cbc,2,2017-07-28 07:15:32,10000.0,11500.0,15,Good
8a858e4456ced8470156dc8f1f4038d3,11,2017-07-25 16:13:30,40000.0,44000.0,30,Good
8a858e5357d823010157d932443d28a3,13,2017-07-18 11:00:05,40000.0,44000.0,30,Good
8a858e5b5bd99460015bdf725e143ff4,3,2017-07-07 12:20:59,10000.0,13000.0,30,Good
8a858e645755e62201576b58e3522081,3,2017-07-01 11:44:57,10000.0,11500.0,15,Good
8a858e6c5bd3fbff015bd408ac3e067a,2,2017-07-24 14:37:13,10000.0,11500.0,15,Bad
8a858e705668e16701567f1523211e5a,15,2017-07-19 08:17:32,40000.0,44000.0,30,Good
8a858e7d595026f8015951c0c4a03fae,10,2017-07-01 21:50:24,30000.0,34500.0,30,Good
8a858e885c17687c015c19eead6338fd,3,2017-07-05 07:34:08,10000.0,13000.0,30,Good
8a858e8f5d41c974015d4b7f31865627,2,2017-07-30 13:26:07,10000.0,11500.0,15,Bad
8a858e9b5a195041015a1a602a51519d,7,2017-07-13 17:38:01,25000.0,28750.0,30,Good
8a858ea555d9e6020155f489c9b237f8,3,2017-07-11 17:22:01,10000.0,13000.0,30,Good
8a858eb05d2d1297015d313b03581809,2,2017-07-27 16:22:07,10000.0,13000.0,30,Good
8a858eb85c1be44c015c1c4b667d25ee,3,2017-07-04 13:53:57,10000.0,13000.0,30,Good
8a858ec75bfd77c4015c0d841520351c,4,2017-07-01 18:36:47,20000.0,24500.0,30,Good
8a858ed35cc5ce51015cc60f40f522b4,2,2017-07-17 10:33:52,10000.0,11500.0,15,Good
8a858edb5ad79cc6015ad7c9b29415c8,5,2017-07-17 10:17:01,20000.0,22250.0,15,Good
8a858ee55830c4b90158337542ab18a1,6,2017-07-11 09:28:30,10000.0,13000.0,30,Bad
8a858eec5ca21dcb015ca2493dee1e2d,2,2017-07-06 11:39:24,10000.0,13000.0,30,Good
8a858ef75997d0180159a695b01e2c4c,5,2017-07-21 15:43:59,20000.0,24500.0,30,Good
8a858f03582604ff0158260fcc730548,10,2017-07-28 21:33:41,20000.0,24500.0,30,Good
8a858f085b905684015b906e73a01478,4,2017-07-28 12:31:10,20000.0,24500.0,30,Good
8a858f1955b1c4df0155cd14c5b478ed,2,2017-07-28 13:17:13,10000.0,13000.0,30,Good
8a858f2656e154de0156e3a87cdc45fb,5,2017-07-17 15:27:00,20000.0,22250.0,15,Good
8a858f2e5c699f3a015c6cf27a036477,2,2017-07-01 17:42:36,10000.0,13000.0,30,Good
8a858f335cd0c78e015cd435d7192800,2,2017-07-18 21:32:19,10000.0,11500.0,15,Good
8a858f3d5add42e2015ae0ca6cb66b83,8,2017-07-27 09:34:11,30000.0,34500.0,30,Good
8a858f4655ca643c0155cbc4e13945cc,15,2017-07-05 15:47:33,40000.0,44000.0,30,Good
8a858f4f5511dca201551b73634170b6,4,2017-07-26 16:15:25,10000.0,13000.0,30,Good
8a858f555cc65d60015cc72de106320c,2,2017-07-12 14:27:04,10000.0,13000.0,30,Good
8a858f5e599783c0015997c56ef70ffa,3,2017-07-28 18:03:37,10000.0,11500.0,15,Good
8a858f60560bc43d01561d94abd91c48,4,2017-07-23 13:52:36,10000.0,11500.0,15,Good
8a858f6e5aa3c922015aa3d9cba10a74,5,2017-07-18 12:04:15,20000.0,22250.0,15,Good
8a858f785cea234f015cea434e0a09e6,2,2017-07-12 13:21:08,10000.0,13000.0,30,Good
8a858f7e564ad338015654d3a5c242a5,8,2017-07-08 11:23:48,30000.0,34500.0,30,Good
8a858f9158aff6a30158b5f2ff887585,9,2017-07-19 14:55:01,20000.0,22250.0,15,Good
8a858f975c4582c4015c550ee4925686,3,2017-07-27 09:30:55,10000.0,13000.0,30,Good
8a858f995a4762a5015a4c25b0ea01c3,6,2017-07-17 07:53:36,20000.0,24500.0,30,Good
8a858fa45bd95e9a015be131cdec35a8,3,2017-07-04 11:33:25,10000.0,13000.0,30,Good
8a858fae5b49223f015b499e1cf9485b,4,2017-07-18 00:03:50,10000.0,13000.0,30,Bad
8a858fb15b34a708015b350c4a1a58d2,4,2017-07-24 21:45:42,20000.0,24500.0,30,Good
8a858fba5cd5feee015cda4f0fa423b4,2,2017-07-23 11:02:49,10000.0,11500.0,15,Good
8a858fc55b2fde30015b30c9256b43fd,5,2017-07-29 06:18:10,20000.0,24500.0,30,Good
8a858fcb5ca240f7015ca64a71fa1951,2,2017-07-02 17:46:44,10000.0,13000.0,30,Good
8a858fd45a4260bc015a42ac9e89278d,5,2017-07-03 15:36:32,20000.0,24500.0,30,Good
8a858fd95c3b5bca015c3fcc0b374c3e,2,2017-07-07 16:17:06,10000.0,13000.0,30,Good
8a85882953bc04f80153c205b75d7403,8,2017-07-22 13:50:43,40000.0,48000.0,60,Good
8a8588dc536a14130153753dc8d32698,17,2017-07-03 13:38:49,40000.0,44000.0,30,Good
8a8588fd53c244bc0153c8305ea7338f,4,2017-07-06 09:25:08,20000.0,22250.0,15,Bad
8a85895054a061920154a909b1a76c1d,12,2017-07-11 15:22:15,30000.0,34500.0,30,Good
8a8589b953bc23f70153c90114817143,7,2017-07-16 18:24:16,30000.0,39000.0,60,Bad
8a858e02578f616401579484a4963345,12,2017-07-29 22:01:27,30000.0,34500.0,30,Bad
8a858e0b5cfa2028015d092b47e27e30,2,2017-07-19 10:30:17,10000.0,13000.0,30,Good
8a858e1556321b940156548b9ca970a6,12,2017-07-18 16:35:30,40000.0,48000.0,60,Good
8a858e195b90e512015ba0eb4eed5ef5,5,2017-07-05 11:35:38,20000.0,24500.0,30,Good
8a858e205af28299015af50a799745c5,7,2017-07-24 18:31:35,30000.0,39000.0,60,Good
8a858e2e5bb57a37015bbe1b8d6d3830,3,2017-07-05 06:01:31,10000.0,13000.0,30,Good
8a858e3559080830015923412dd84294,10,2017-07-11 07:16:04,40000.0,44000.0,30,Good
8a858e3e5b3ee747015b3f0409012b7f,5,2017-07-04 12:25:02,30000.0,39000.0,60,Good
8a858e4a5cac6f81015cad78a648389f,2,2017-07-20 20:56:49,10000.0,13000.0,30,Good
8a858e575bf80f73015bfbc59df93401,3,2017-07-07 02:10:23,10000.0,13000.0,30,Good
8a858e625c8d993a015c95e7ced318df,2,2017-07-24 15:28:18,10000.0,13000.0,30,Good
8a858e655a047d1a015a12bb060936ff,3,2017-07-26 14:08:24,10000.0,13000.0,30,Good
8a858e6e55c554c20155c6d8e2925c62,8,2017-07-18 15:24:31,10000.0,13000.0,30,Good
8a858e785acd3412015acd7bdec42d4f,6,2017-07-05 18:12:38,30000.0,34500.0,30,Good
8a858e875c63d395015c74bdfd343206,2,2017-07-29 08:14:40,10000.0,13000.0,30,Good
8a858e8d56adbdae0156b30248fe3104,4,2017-07-13 11:54:39,20000.0,24500.0,30,Good
8a858e985885ff6d01589211d7c01088,6,2017-07-18 13:24:53,20000.0,24500.0,30,Good
8a858ea15ca2565c015ca6ed24977b5e,2,2017-07-13 19:45:05,10000.0,13000.0,30,Good
8a858eaa55a0b8ae0155bab849c616a1,2,2017-07-18 20:53:04,10000.0,13000.0,30,Good
8a858eb4596ff919015974a667560a89,8,2017-07-07 18:46:29,30000.0,34500.0,30,Good
8a858ec55b441639015b444e78b7361f,4,2017-07-15 23:07:28,10000.0,11125.0,15,Good
8a858ece5b0142e3015b0a3a7f183339,5,2017-07-28 19:14:09,20000.0,24500.0,30,Good
8a858eda552adcc20155307212b55ac2,11,2017-07-17 18:24:08,30000.0,34500.0,30,Good
8a858ee454da1cbd0154e2796fba7142,12,2017-07-14 18:59:53,30000.0,34500.0,30,Bad
8a858ee65a8401a1015a8447d2ac1cf2,6,2017-07-30 10:48:29,20000.0,24500.0,30,Good
8a858eef5554890501555868a7475f44,8,2017-07-14 09:22:18,15000.0,16687.5,15,Good
8a858eff55a090650155a13892552a0b,2,2017-07-23 10:20:52,10000.0,11500.0,15,Good
8a858f0656b7820c0156c3e3a61c1d33,15,2017-07-10 09:14:43,50000.0,52500.0,30,Good
8a858f0f5bfd79d2015c0331ce3378fe,2,2017-07-26 19:36:09,10000.0,11500.0,15,Good
8a858f1f587161850158742ebbce53d8,9,2017-07-12 10:36:23,30000.0,34500.0,30,Good
8a858f275c451af5015c49a2c43b5fb2,2,2017-07-16 16:54:48,10000.0,13000.0,30,Good
8a858f305cb1ec4e015cb215f0500a8d,2,2017-07-15 09:37:01,10000.0,13000.0,30,Good
8a858f375cef1cbc015ceff67d505f59,2,2017-07-28 18:22:54,10000.0,13000.0,30,Good
8a858f425b85835d015b85bfe40538db,2,2017-07-06 14:18:08,10000.0,13000.0,30,Good
8a858f495c5973ce015c59c5f099417c,3,2017-07-25 08:51:56,10000.0,13000.0,30,Good
8a858f54589736f401589857085e3b5b,9,2017-07-17 13:40:41,40000.0,44000.0,30,Good
8a858f585bfd6341015c03694f85158f,4,2017-07-12 07:55:44,10000.0,11500.0,15,Good
8a858f5e5cf45779015cf47ed8db1872,2,2017-07-29 17:55:51,10000.0,13000.0,30,Good
8a858f665c45930d015c54a24fdc1f6c,2,2017-07-09 07:16:41,10000.0,11500.0,15,Good
8a858f6f5b3f095b015b4083532532a0,2,2017-07-21 22:03:47,10000.0,13000.0,30,Good
8a858f7a5ca22d3c015ca24d01461879,2,2017-07-11 16:27:12,10000.0,13000.0,30,Good
8a858f8d5cc56f9a015cc57e769908ac,2,2017-07-21 10:25:19,10000.0,13000.0,30,Bad
8a858f965bb63a25015bc22b915e62f1,5,2017-07-19 13:19:31,20000.0,22250.0,15,Good
8a858f985b80ab2c015b81098b8f2c2e,4,2017-07-18 08:36:51,20000.0,24500.0,30,Good
8a858fa15c8ceaaa015c8d79c65f4f86,2,2017-07-14 19:08:46,10000.0,13000.0,30,Good
8a858fa95b631878015b6401c15973f3,3,2017-07-06 22:39:36,10000.0,11500.0,15,Bad
8a858faf56b7821c0156b93cd62a6275,9,2017-07-03 09:57:35,40000.0,48000.0,60,Good
8a858fb45b3eef19015b3fa969390cd3,4,2017-07-21 20:18:20,20000.0,22250.0,15,Good
8a858fbd5cd6054a015ce82aa3914088,2,2017-07-30 05:35:13,10000.0,13000.0,30,Good
8a858fca5c830943015c835e839e33a5,2,2017-07-11 10:20:04,10000.0,11500.0,15,Good
8a858fcf5591c5cf015597c298cb15d9,2,2017-07-17 22:30:27,10000.0,13000.0,30,Good
8a858fd55c45ba15015c4f06ea176506,3,2017-07-23 07:25:02,10000.0,11500.0,15,Good
8a858fdf5bf85f71015bfc1f51f9690a,2,2017-07-15 08:53:30,10000.0,13000.0,30,Good
8a858fea5b391cd7015b3936e1ca25c8,5,2017-07-02 18:51:47,20000.0,24500.0,30,Good
8a858ff45be92ea2015be98bc2162c96,2,2017-07-07 11:07:00,10000.0,13000.0,30,Good
8a858ffb5b350b52015b352574d219d9,4,2017-07-12 09:57:58,20000.0,24500.0,30,Good
8a8589a453bc422d0153c993db2604b6,11,2017-07-16 22:59:56,40000.0,44000.0,30,Bad
8a858e275c7ea5ec015c82482d7c3996,2,2017-07-10 21:21:46,10000.0,13000.0,30,Bad
8a858e885b68546c015b6cb377c12140,2,2017-07-01 20:37:48,10000.0,13000.0,30,Bad
8a858ee65be8d42d015bea072bee5936,4,2017-07-12 13:33:56,20000.0,24500.0,30,Bad
8a858f3455a0d8070155c5fee7cc0a6d,2,2017-07-28 08:45:33,10000.0,13000.0,30,Bad
8a858f7e5c69a6e3015c69b6aba2072e,2,2017-07-05 17:33:01,10000.0,11500.0,15,Bad
8a858fd25c5a5bc7015c5b63cb92393a,2,2017-07-23 07:43:16,10000.0,13000.0,30,Bad
8a1edbf14734127f0147356fdb1b1eb2,3,2017-07-15 16:02:04,10000.0,11500.0,15,Good
8a85884e54a0565b0154ba3fa6c72e7e,3,2017-07-18 11:07:14,10000.0,11500.0,15,Good
8a8588f754a058cb0154b3b507dc1abe,7,2017-07-29 13:07:45,30000.0,34500.0,30,Good
8a85892e5425ad2001542d2827756546,5,2017-07-06 18:21:12,20000.0,24500.0,30,Good
