customerid,loannumber,loanamount,totaldue,termdays,closeddate_days,firstduedate_days,firstrepaiddate_days
8a2a81a74ce8c05d014cfb32a0da1049,2,10000.0,13000.0,30,16,29,16
8a2a81a74ce8c05d014cfb32a0da1049,9,10000.0,13000.0,30,29,31,27
8a2a81a74ce8c05d014cfb32a0da1049,8,20000.0,23800.0,30,52,29,52
8a8588f35438fe12015444567666018e,5,10000.0,11500.0,15,14,14,14
8a85890754145ace015429211b513e16,2,10000.0,11500.0,15,27,15,27
8a858970548359cc0154883481981866,5,20000.0,23800.0,30,29,29,29
8a858970548359cc0154883481981866,8,30000.0,39000.0,60,29,29,29
8a8589f35451855401546b0738c42524,6,20000.0,24500.0,30,32,31,32
8a858e095c59b91b015c5e5cea3719bc,2,10000.0,13000.0,30,27,29,27
8a858e1158dc4d830158f7bde4f47ea7,3,10000.0,11500.0,15,14,14,14
8a858e1158dc4d830158f7bde4f47ea7,7,30000.0,34400.0,30,30,29,30
8a858e185b4923b4015b4ae48d28646a,1,10000.0,11500.0,15,25,16,25
8a858e345bd96da8015be6b9f8bc10c7,2,10000.0,13000.0,30,37,29,37
8a858e4456ced8470156dc8f1f4038d3,5,20000.0,21900.0,15,9,14,9
8a858e4456ced8470156dc8f1f4038d3,8,30000.0,34400.0,30,30,29,30
8a858e4456ced8470156dc8f1f4038d3,7,30000.0,34400.0,30,30,30,30
8a858e5357d823010157d932443d28a3,3,10000.0,11500.0,15,14,14,14
8a858e5357d823010157d932443d28a3,8,30000.0,34400.0,30,29,29,29
8a858e5357d823010157d932443d28a3,1,10000.0,13000.0,30,30,30,30
8a858e645755e62201576b58e3522081,2,10000.0,13000.0,30,36,29,36
8a858e705668e16701567f1523211e5a,7,30000.0,34400.0,30,27,29,27
8a858e705668e16701567f1523211e5a,8,30000.0,34400.0,30,29,29,29
8a858e705668e16701567f1523211e5a,5,20000.0,22250.0,15,12,14,12
8a858e7d595026f8015951c0c4a03fae,4,20000.0,21900.0,15,11,15,11
8a858e7d595026f8015951c0c4a03fae,7,30000.0,34400.0,30,29,29,29
8a858e7d595026f8015951c0c4a03fae,6,20000.0,21900.0,15,13,14,13
8a858e9b5a195041015a1a602a51519d,2,10000.0,11500.0,15,15,15,15
8a858e9b5a195041015a1a602a51519d,5,20000.0,22250.0,15,12,14,12
8a858eb05d2d1297015d313b03581809,1,10000.0,13000.0,30,5,30,5
8a858ec75bfd77c4015c0d841520351c,2,10000.0,11500.0,15,15,14,15
8a858edb5ad79cc6015ad7c9b29415c8,4,20000.0,24500.0,30,21,29,21
8a858ee55830c4b90158337542ab18a1,3,10000.0,13000.0,30,64,31,64
8a858eec5ca21dcb015ca2493dee1e2d,1,10000.0,13000.0,30,6,30,6
8a858ef75997d0180159a695b01e2c4c,3,10000.0,13000.0,30,29,29,29
